station_id,name,river,lat,lon,elev
249220070,RYBOTYCZE,Wiar (224),49.654444,22.640000,289.0
249220080,SANOK-TREPCZA,San (22),49.584722,22.185278,307.0
249220110,NOWOTANIEC,Pielnica (22618),49.507778,22.025278,405.0
249220120,LESZCZOWATE,San (22),49.507222,22.547778,486.0
249220130,Brzegi Dolne,Strwiąż (76),49.443333,22.621111,438.0
249220140,SZCZAWNE,Osława (222),49.398889,22.146944,395.0
249220150,SOLINA-JAWOR,San (22),49.400000,22.468333,459.0
249220160,TELEŚNICA OSZWAROWA,San (22),49.380278,22.531111,449.0
249220170,BALIGRÓD-MCHAWA,Hoczewka (2218),49.353889,22.283611,430.0
249220180,KOMAŃCZA,Osława (222),49.339167,22.063333,478.0
249220190,SAKOWCZYK,San (22),49.314722,22.447500,561.0
249220210,TERKA,Solinka (2212),49.297222,22.426944,446.0
249220220,POLANA,Czarna (22132),49.303333,22.576667,458.0
249220230,LUTOWISKA,San (22),49.243056,22.683333,666.0
249220240,ŻUBRACZE,Solinka (22134),49.208889,22.271667,623.0
249220250,CISNA,Solinka (2212),49.212778,22.331111,549.0
249220260,DWERNIK,San (22),49.220833,22.633889,543.0
249220270,KALNICA,Wetlina (22126),49.197222,22.424167,577.0
249220280,STUPOSIANY,Wołosaty (22114),49.191667,22.683056,547.0
249220290,ROZTOKI GÓRNE,Solinka (22134),49.153333,22.314444,700.0
249220310,WETLINA,Wetlina (221346),49.144722,22.471944,708.0
249220320,POŁONINA WETLIŃSKA,Wetlina (221346),49.157778,22.551667,1226.0
249220330,TARNAWA  NIŻNA,San (22),49.124722,22.791389,708.0
249220340,WOŁOSATE,Wołosaty (22114),49.064167,22.685833,752.0
249220350,WYŻNIAŃSKI WIERCH,San (22),49.121944,22.585833,913.0
249220360,BUKOWIEC,Solinka (2212),49.305833,22.413611,435.0
249220370,Zatwarnica,San (22),49.215833,22.552222,-9999.0
250140010,Wyszków,Nysa Łużycka (174),50.967500,14.993056,330.0
